Candidato;Bairro;Votos;;;;;
SARTO;AEROLÂNDIA;1.683;;;;;
SARTO;AEROPORTO;498;;;;;
SARTO;ALDEOTA;15.957;;;;;
SARTO;ALTO DA BALANÇA;5.718;;;;;
SARTO;ÁLVARO WEYNE;12.255;;;;;
SARTO;AMADEU FURTADO;1.142;;;;;
SARTO;ANCURI;359;;;;;
SARTO;ANTÔNIO BEZERRA;11.940;;;;;
SARTO;AUTRAN NUNES;4.720;;;;;
SARTO;BARRA DO CEARÁ;15.814;;;;;
SARTO;BARROSO;8.265;;;;;
SARTO;BELA VISTA;7.433;;;;;
SARTO;BENFICA;5.672;;;;;
SARTO;BOA VISTA;3.754;;;;;
SARTO;BOM FUTURO;4.355;;;;;
SARTO;BOM JARDIM;15.030;;;;;
SARTO;BONSUCESSO;9.287;;;;;
SARTO;CAIS DO PORTO;6.598;;;;;
SARTO;CAJAZEIRAS;2.949;;;;;
SARTO;CAMBEBA;1.995;;;;;
SARTO;CANINDEZINHO;5.240;;;;;
SARTO;CARLITO PAMPLONA;1.423;;;;;
SARTO;CENTRO;10.877;;;;;
SARTO;CIDADE DOS FUNCIONÁRIOS;6.360;;;;;
SARTO;CIDADE 2000;3.581;;;;;
SARTO;COAÇU;1.302;;;;;
SARTO;CONJUNTO CEARÁ I;19.340;;;;;
SARTO;CONJUNTO ESPERANÇA;9.147;;;;;
SARTO;CONJUNTO PALMEIRAS;9.603;;;;;
SARTO;CRISTO REDENTOR;13.033;;;;;
SARTO;DAMAS;1.828;;;;;
SARTO;DE LOURDES;3.233;;;;;
SARTO;DEMOCRITO ROCHA;3.993;;;;;
SARTO;DIAS MACEDO;3.552;;;;;
SARTO;DIONISIO TORRES;6.268;;;;;
SARTO;DOM LUSTOSA;4.045;;;;;
SARTO;EDSON QUEIROZ;13.740;;;;;
SARTO;ENGENHEIRO LUCIANO CAVALCANTE;5.574;;;;;
SARTO;FARIAS BRITO;2.636;;;;;
SARTO;FÁTIMA;6.632;;;;;
SARTO;FLORESTA;2.060;;;;;
SARTO;GRANJA LISBOA;10.614;;;;;
SARTO;GRANJA PORTUGAL;10.749;;;;;
SARTO;GUAJIRU;2.527;;;;;
SARTO;HENRIQUE JORGE;9.815;;;;;
SARTO;ITAOCA;39;;;;;
SARTO;ITAPERI;6.397;;;;;
SARTO;JACARECANGA;9.501;;;;;
SARTO;JANGURUSSU;10.729;;;;;
SARTO;JARDIM AMÉRICA;3.944;;;;;
SARTO;JARDIM CEARENSE;1.201;;;;;
SARTO;JARDIM DAS OLIVEIRAS;8.706;;;;;
SARTO;JARDIM GUANABARA;2.559;;;;;
